No.,"API at
15°C",%C4,%C5,%C6,%C7+,MW,SGC7+,"P (g/cc) at
20°C","u (cP) at
20°C","u (cP) at
30°C","u (cP) at
40°C","u (cP) at
50°C","u (cP) at
60 °C"
1,20.4,1.02,2.57,3.37,93.04,326.4,0.94,0.93,200.59,106.07,62.6,40.177,27.268
2,20,0.04,0.44,1.62,97.9,331.22,0.93,0.933,243.11,131.9,76.875,48.461,32.351
3,19.6,0.25,1.57,3.94,94.24,343.1,0.94,0.935,322.46,171.13,96.462,58.975,38.663
4,19.5,0,0.12,1.16,98.72,295.7,0.94,0.935,312.4,158.25,88.722,54.503,35.498
5,18.7,0.08,1.13,2.09,96.7,342.65,0.94,0.941,232.12,126.17,74.171,46.59,30.978
6,18.6,0.35,1.62,3.21,94.81,338.41,0.95,0.941,196.73,108.36,64.539,41.088,27.617
7,18,0.46,1.23,2.06,96.25,353.31,0.95,0.945,319.57,262.18,140.28,81.78,51.562
8,18,0.35,1.14,1.95,96.56,353.44,0.95,0.945,285.66,151.65,87.573,54.331,35.767
9,18,1.05,1.53,1.92,95.5,347.26,0.95,0.945,396.52,171.08,97.209,59.809,39.16
10,17.9,0.15,1.65,3.72,94.49,357.24,0.95,0.945,516.01,205.44,115.72,70.104,45.172
11,17.6,0.18,1.16,2.73,95.93,343.69,0.95,0.947,309.5,162.45,92.869,56.966,37.234
12,17.4,0.46,0.49,1.95,97.1,367.35,0.95,0.949,494.24,249.43,137.83,81.972,52.014
13,17.1,0,0.23,1.19,98.58,345.72,0.95,0.951,891.9,431.67,209.77,118.36,72.911
14,16.8,0.17,0.73,2.23,96.87,354.55,0.96,0.952,374.8,192.84,108.31,65.532,42.155
15,16.7,0.16,0.96,1.87,97,351.13,0.96,0.953,382.14,197.41,110.22,66.462,42.623
16,16.4,0.09,0.43,1.21,98.27,372.04,0.96,0.955,521.79,259.03,141.78,83.945,53.008
17,16.2,0,0.09,0.4,99.51,380.46,0.96,0.956,1320.2,607.26,291.99,159.21,95.079
18,16,0.09,1.25,1.42,97.23,378.29,0.96,0.958,552.91,272.47,147.95,86.964,54.608
19,15.9,0.09,0.34,1.04,98.54,367.17,0.96,0.958,535.47,264.89,143.88,85.346,53.702
20,15.8,0.18,0.68,2,97.14,335.27,0.96,0.959,541.02,266.69,144.7,84.987,53.336
21,14.9,0.15,0.32,1.37,98.16,369.29,0.97,0.965,788.58,375.15,196.19,111.31,68.012
22,14.9,0.09,0.39,1.21,98.31,377.01,0.97,0.965,767.13,363.2,191.05,108.93,66.528
23,14.8,1.01,1.95,2.62,94.42,412.79,0.97,0.966,1294.6,420.23,217.33,123.11,74.758
24,14.8,0.69,1.32,1.91,96.09,361.14,0.97,0.965,895.64,591.89,299.11,165.25,98.236
25,14.8,0.11,0.21,0.96,98.72,364.62,0.97,0.966,746.11,353.31,185.22,105.68,64.809
26,14.5,0.13,0.25,1.05,98.58,362,0.97,0.968,1022.4,430.23,221.74,124.31,74.883
27,14.3,0.21,0.18,1.45,98.16,355.03,0.97,0.969,930.79,466.73,238.63,132.32,79.264
28,13.4,0.05,0.05,0.39,99.52,384.46,0.98,0.975,1430.6,632.54,312.66,170.03,99.442
29,19.45,0.007,0.029,0.035,0.93,377.802,0.94,0.931,261.73,138.39,80.893,50.247,33.052
